Artista,Canta,Atua
Marisa Orth,sim,sim
Preta Gil,sim,sim
Clarice Falcão,sim,sim
Mariana Rios,sim,sim
Marjorie Estiano,sim,sim
Alexandre Nero,sim,sim
Chay Suede,sim,sim
Fiuk,sim,sim
Fábio Jr.,sim,sim
Evandro Mesquita,sim,sim
Seu Jorge,sim,sim
Djavan,sim,não
Lenine,sim,não
Wesley Safadão,sim,não
Ana Carolina,sim,não
Marisa Monte,sim,não
Milton Nascimento,sim,não
Bruno Gagliasso,não,sim
Osmar Prado,não,sim
Luana Piovani,não,sim
Caio Blat,não,sim
Caio Castro,não,sim
Rodrigo Lombardi,não,sim
Fernanda Montenegro,não,sim
