País,GDP 2018,GDP 2019,GDP 2020,GDP 2021
Aruba,3202234636.87151,3368970253.05286,2610038937.56355,3126019399.06492
Africa Eastern and Southern,1016696893390.38,1009051505055.59,934179085451.04,1089454323810.36
Afghanistan,18418848299.5825,18904490262.913,20143442150.971,14786861638.4535
Africa Western and Central,766359667820.703,794719102944.191,784799699387.377,840187283626.448
Angola,77792944471.9494,69309110145.7687,53619073505.1377,67404287260.3199
Albania,15156432309.8977,15401830754.0773,15131866270.5936,18255787479.1846
Andorra,3218316013.22626,3155065487.51819,2891022272.98687,3330281523.53915
Arab World,2800428454533.12,2818359324481.87,2491175410790.0,2862987423061.49
United Arab Emirates,427049432149.345,417989721734.494,349473015336.939,415021590683.006
Argentina,524819742918.669,447754609218.678,385540224628.292,487227339102.67
Armenia,12457941907.0333,13619291361.2814,12641697523.2966,13861409968.835
American Samoa,639000000.0,647000000.0,716000000.0,709000000.0
Antigua and Barbuda,1605944444.44444,1687533333.33333,1370281481.48148,1471125925.92593
Australia,1428288504767.07,1392227864397.08,1326901059123.21,1552667363236.06
Austria,454991174096.102,444621176100.548,435225238000.437,480368403893.364
Azerbaijan,47112941176.4706,48174235294.1176,42693000000.0,54622176470.5882
Burundi,2660123597.70762,2576518846.39,2649671998.86192,2779813489.02447
Belgium,543299066998.902,535830876745.097,525211810652.608,594104177539.525
Benin,14262408079.7014,14391686309.033,15651545208.8783,17144918952.4682
Burkina Faso,15890065019.7634,16178162030.0694,17933606353.1775,19737615114.3661
Bangladesh,321379023557.462,351238474244.667,373902134700.41,416264942893.326
Bulgaria,66363537115.2686,68915875214.6537,70240275010.1964,84056312734.3089
Bahrain,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
"Bahamas, The",12755800000.0,13192800000.0,9699500000.0,11208600000.0
Bosnia and Herzegovina,20183510863.0054,20202479537.5193,19950471170.6465,23365361635.2201
Belarus,60031262269.3365,64409647193.8044,61371126414.1663,68205380706.6609
Belize,2315000000.0,2416500000.0,2080000000.0,2491500000.0
Bermuda,7225977000.0,7423465000.0,6887147000.0,7286607000.0
Bolivia,40287647930.4761,40895322843.7851,36629843805.0216,40408208528.1599
Brazil,1916947014067.55,1873274432754.47,1448559976218.19,1608981456325.08
Barbados,5097283200.0,5324250000.0,4671800000.0,4843800000.0
Brunei Darussalam,13567351175.0315,13469422958.5105,12005825759.223,14006569575.68
Bhutan,2446866404.93058,2535657069.05537,2325184481.4277,2539552984.67797
Botswana,17031901441.1765,16695928792.5697,14930072458.5814,17614791265.6824
Central African Republic,2220978978.17342,2221301400.72468,2326720920.59223,2516498299.01212
Canada,1725329192783.02,1742015045482.31,1645423407568.36,1988336331717.42
Central Europe and the Baltics,1649466156164.77,1675083820501.22,1664902507747.84,1901935313869.67
Switzerland,725568717468.001,721369112726.724,739913619797.445,800640155387.26
Channel Islands,,,,
Chile,295402652037.155,278584733103.01,252727193710.018,317058508651.76
China,13894817549374.2,14279937500606.5,14687673892882.0,17734062645371.4
Cote d'Ivoire,58011466450.8643,58539424929.7248,61348579465.1017,70043191477.0454
Cameroon,39973839064.6084,39670977332.7348,40773241531.2395,45338283344.8175
"Congo, Dem. Rep.",47568210068.5136,51775830725.8441,48716960860.0664,55350968593.0597
"Congo, Rep.",13670036996.0023,12750339022.9915,10483151175.8451,13366230219.5352
Colombia,334198218100.719,323109540251.855,270299984937.97,314464137241.33
Comoros,1188797574.94753,1195019559.09381,1225039230.74083,1296089632.60039
Cabo Verde,1966501117.61028,1981845740.70615,1703698676.69742,1936174043.45293
Costa Rica,62420165099.7231,64417670082.6127,62158002233.0279,64282438666.739
Caribbean small states,76350610223.413,77428424853.8962,65896805290.3286,75295300457.2966
Cuba,100050000000.0,103428000000.0,107352000000.0,
Curacao,3020388826.81564,2995185474.86034,2496174748.60335,2699612458.10056
Cayman Islands,5530377535.1014,5943589103.56414,5608989199.56798,5898449687.97711
Cyprus,25596474964.5725,25944504645.6957,25008448886.3507,28407867534.0035
Czechia,249000540729.179,252548179964.897,245974558654.043,281777887121.451
Germany,3974443355019.6,3888226035921.56,3889668895299.62,4259934911821.64
Djibouti,2913466732.12507,3088853638.56832,3181071153.6622,3482987379.0942
Dominica,554770370.37037,611537037.037037,504214814.814815,554181481.481481
Denmark,356841216410.068,346498737961.635,355222449505.211,398303272764.46
Dominican Republic,85555378042.8196,88941299733.5018,78844702329.0785,94243453937.4462
Algeria,174910878623.049,171767403748.19,145009181490.62,163044443983.759
East Asia & Pacific (excluding high income),16640444719655.7,17207855739652.5,17486916629390.6,20751789915914.3
Early-demographic dividend,11421920659971.4,11638001740869.6,10851370332817.7,12637296304146.5
East Asia & Pacific,26482255890882.1,27028297830157.6,27127309724583.3,30911686458694.3
Europe & Central Asia (excluding high income),3182536273975.65,3248640014760.21,2982626888407.66,3517372658753.68
Europe & Central Asia,23193558169075.9,22909981097693.6,22139980728586.8,25082834224986.1
Ecuador,107562008000.0,108108009000.0,99291124000.0,106165866000.0
"Egypt, Arab Rep.",249712999437.254,303080865603.645,365252651278.852,404142766093.053
Euro area,13698192868965.1,13418170804151.7,13085484520637.5,14563282816938.9
Eritrea,,,,
Spain,1421702715218.04,1394320055129.41,1276962685648.25,1427380681294.55
Estonia,30624720196.229,31081901909.2156,31370395572.7658,37191166151.98
Ethiopia,84269348327.3454,95912590628.1412,107657734392.446,111271112329.975
European Union,15980834651544.8,15693403575262.4,15369441264656.7,17177419592825.0
Fragile and conflict affected situations,1739933265067.11,1804386435814.39,1680894123972.54,1799023437650.12
Finland,275708001767.843,268514916972.549,271891788362.647,297301883523.251
Fiji,5581371847.61641,5481675173.38011,4477040340.45226,4296304590.01135
France,2790956878746.66,2728870246705.88,2639008701648.26,2957879759263.52
Faroe Islands,3188610521.64824,3275706960.14634,3248696901.60652,3649886275.07118
"Micronesia, Fed. Sts.",401932300.0,412000000.0,408000000.0,404028900.0
Gabon,16867326389.8704,16874405460.1955,15314577167.8211,20216843173.9702
United Kingdom,2878152147315.82,2857057847953.02,2704609160088.15,3131377762925.95
Georgia,17596922469.9152,17470436258.5131,15842922532.7202,18629365597.0017
Ghana,67299280679.563,68337537815.7703,70043199813.6885,77594279054.8795
Gibraltar,,,,
Guinea,11857030336.5252,13442861443.7506,14177835816.2777,16091817842.2342
"Gambia, The",1670670668.5939,1813608279.65044,1812169483.72578,2038417462.37695
