Estado - Sigla,Municipio,Produto,Valor de Venda,Bandeira
PB,BAYEUX,GASOLINA,6.61,VIBRA ENERGIA
PB,BAYEUX,ETANOL,5.63,VIBRA ENERGIA
PB,BAYEUX,DIESEL,5.54,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.59,VIBRA ENERGIA
PB,BAYEUX,GASOLINA,6.49,BRANCA
PB,BAYEUX,ETANOL,5.09,BRANCA
PB,BAYEUX,DIESEL,5.39,BRANCA
PB,BAYEUX,DIESEL S10,5.49,BRANCA
PB,BAYEUX,GNV,4.65,BRANCA
PB,BAYEUX,GASOLINA,6.66,VIBRA ENERGIA
PB,BAYEUX,DIESEL,5.38,VIBRA ENERGIA
PB,BAYEUX,GASOLINA ADITIVADA,6.76,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.49,VIBRA ENERGIA
PB,BAYEUX,GNV,4.87,VIBRA ENERGIA
PB,BAYEUX,GASOLINA,6.47,VIBRA ENERGIA
PB,BAYEUX,ETANOL,5.09,VIBRA ENERGIA
PB,BAYEUX,DIESEL,5.39,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.49,VIBRA ENERGIA
PB,CAMPINA GRANDE,GASOLINA,6.45,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.99,BRANCA
PB,CAMPINA GRANDE,DIESEL,5.29,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.49,ALESAT
PB,CAMPINA GRANDE,ETANOL,4.99,ALESAT
PB,CAMPINA GRANDE,DIESEL,5.39,ALESAT
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.64,ALESAT
PB,CAMPINA GRANDE,DIESEL S10,5.49,ALESAT
PB,CAMPINA GRANDE,GASOLINA,6.49,VIBRA ENERGIA
PB,CAMPINA GRANDE,ETANOL,4.99,VIBRA ENERGIA
PB,CAMPINA GRANDE,DIESEL,5.39,VIBRA ENERGIA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.65,VIBRA ENERGIA
PB,CAMPINA GRANDE,DIESEL S10,5.59,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.49,RAIZEN
PB,JOAO PESSOA,ETANOL,4.99,RAIZEN
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.69,RAIZEN
PB,JOAO PESSOA,DIESEL S10,5.49,RAIZEN
PB,JOAO PESSOA,GASOLINA,6.47,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,5.19,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.76,VIBRA ENERGIA
PB,JOAO PESSOA,GNV,4.63,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.49,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.99,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GNV,4.64,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.47,RAIZEN
PB,JOAO PESSOA,ETANOL,4.99,RAIZEN
PB,JOAO PESSOA,DIESEL,5.29,RAIZEN
PB,JOAO PESSOA,DIESEL S10,5.39,RAIZEN
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.52,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.49,BRANCA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.59,BRANCA
PB,JOAO PESSOA,GASOLINA,6.66,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,5.09,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL,5.38,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.76,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GNV,4.67,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.48,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.42,BRANCA
PB,JOAO PESSOA,ETANOL,4.83,BRANCA
PB,JOAO PESSOA,DIESEL,5.28,BRANCA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.42,BRANCA
PB,JOAO PESSOA,GASOLINA,6.47,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.99,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.67,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.47,RAIZEN
PB,JOAO PESSOA,ETANOL,4.99,RAIZEN
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.59,RAIZEN
PB,JOAO PESSOA,DIESEL S10,5.49,RAIZEN
PB,BAYEUX,GASOLINA,6.75,VIBRA ENERGIA
PB,BAYEUX,ETANOL,5.89,VIBRA ENERGIA
PB,BAYEUX,DIESEL,5.57,VIBRA ENERGIA
PB,BAYEUX,GASOLINA ADITIVADA,6.9,VIBRA ENERGIA
PB,BAYEUX,DIESEL S10,5.57,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.5,IPIRANGA
PB,JOAO PESSOA,ETANOL,5.0,IPIRANGA
PB,JOAO PESSOA,DIESEL S10,5.5,IPIRANGA
PB,JOAO PESSOA,GASOLINA,6.5,IPIRANGA
PB,JOAO PESSOA,ETANOL,5.0,IPIRANGA
PB,JOAO PESSOA,DIESEL S10,5.5,IPIRANGA
PB,JOAO PESSOA,GASOLINA,6.5,IPIRANGA
PB,JOAO PESSOA,ETANOL,5.0,IPIRANGA
PB,JOAO PESSOA,DIESEL S10,5.5,IPIRANGA
PB,JOAO PESSOA,GASOLINA,6.47,ALESAT
PB,JOAO PESSOA,ETANOL,4.99,ALESAT
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.48,ALESAT
PB,JOAO PESSOA,DIESEL S10,5.49,ALESAT
PB,JOAO PESSOA,GNV,4.63,ALESAT
PB,JOAO PESSOA,GASOLINA,6.47,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.99,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.49,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.49,SETTA DISTRIBUIDORA
PB,JOAO PESSOA,ETANOL,5.19,SETTA DISTRIBUIDORA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.59,SETTA DISTRIBUIDORA
PB,JOAO PESSOA,DIESEL S10,5.49,SETTA DISTRIBUIDORA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,DIESEL,5.39,BRANCA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.57,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.49,BRANCA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
PB,JOAO PESSOA,ETANOL,4.99,BRANCA
PB,JOAO PESSOA,DIESEL,5.29,BRANCA
PB,JOAO PESSOA,DIESEL S10,5.49,BRANCA
PB,JOAO PESSOA,GNV,4.62,BRANCA
PB,BAYEUX,GASOLINA,6.43,ALESAT
PB,BAYEUX,ETANOL,4.99,ALESAT
PB,BAYEUX,DIESEL S10,5.29,ALESAT
PB,BAYEUX,GNV,4.63,ALESAT
PB,CAMPINA GRANDE,GASOLINA,6.49,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.99,BRANCA
PB,CAMPINA GRANDE,DIESEL,5.39,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.65,BRANCA
PB,JOAO PESSOA,GASOLINA,6.47,RAIZEN
PB,JOAO PESSOA,ETANOL,4.99,RAIZEN
PB,JOAO PESSOA,DIESEL S10,5.49,RAIZEN
PB,CAMPINA GRANDE,GASOLINA,6.29,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.74,BRANCA
PB,CAMPINA GRANDE,DIESEL,5.17,BRANCA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.44,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.38,BRANCA
PB,BAYEUX,GASOLINA,6.43,RAIZEN
PB,BAYEUX,ETANOL,4.99,RAIZEN
PB,BAYEUX,DIESEL S10,5.29,RAIZEN
PB,JOAO PESSOA,GASOLINA,6.37,ALESAT
PB,JOAO PESSOA,DIESEL,5.34,ALESAT
PB,JOAO PESSOA,DIESEL S10,5.44,ALESAT
PB,JOAO PESSOA,GASOLINA,6.5,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,5.0,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.5,VIBRA ENERGIA
PB,CAMPINA GRANDE,GNV,4.84,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.67,BRANCA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.54,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.99,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.49,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.5,IPIRANGA
